SampleID,144746,144747,144748,144749,144750,144751,144752,144753,144754,144755,144756,144757,144758,144759,144760,144761,144762,144763,144764,144765,144766,144767,144768,144769,144770,144771,144772,144773,144774,144775,144776,144777,144778,144779,144780,144781
144755,0.441952507,0.520807062,0.515931373,0.58974359,0.498780488,0.565118913,0.49682338,0.557598039,0.472703063,0,0.354744526,0.215753425,0.533665835,0.467343977,0.582278481,0.590963139,0.520942408,0.62962963,0.674168297,0.702471483,0.681407035,0.534435262,0.603644647,0.550446999,0.630804077,0.565840939,0.619577308,0.559254328,0.539811066,0.544502618,0.619889503,0.567534077,0.624705882,0.564294632,0.589775561,0.526992288
144756,0.479809976,0.443084455,0.434886499,0.543134872,0.493771234,0.475446429,0.539863326,0.497055359,0.520190024,0.354744526,0,0.32942899,0.503521127,0.482260184,0.551686616,0.568561873,0.582468281,0.585209003,0.666055046,0.653173873,0.671374765,0.600481348,0.555070883,0.578341014,0.584415584,0.586084906,0.56684492,0.563260341,0.550920245,0.49751861,0.569002123,0.610188261,0.587973274,0.587104072,0.552941176,0.550640279
144757,0.448051948,0.51625,0.507917174,0.571794872,0.487241798,0.545970488,0.50375,0.563329312,0.482352941,0.215753425,0.32942899,0,0.525402726,0.440233236,0.579247434,0.597660819,0.529562982,0.609234234,0.652559055,0.691650854,0.671342685,0.539295393,0.592508513,0.530690537,0.608646189,0.536136662,0.593049327,0.542553191,0.522911051,0.539559014,0.607497244,0.57837181,0.62601626,0.548628429,0.591635916,0.537200504
144758,0.53956044,0.498863636,0.503303965,0.531764706,0.554507338,0.510526316,0.556399132,0.534292035,0.565891473,0.533665835,0.503521127,0.525402726,0,0.419947507,0.335343788,0.558918919,0.61237785,0.557428872,0.642276423,0.640610961,0.65189289,0.574117647,0.498360656,0.551918736,0.521786492,0.538641686,0.520766773,0.573085847,0.547815821,0.521126761,0.507478632,0.587215601,0.555921053,0.54972067,0.528193326,0.559020045
144759,0.507407407,0.554753309,0.570934256,0.566709022,0.52748538,0.581599124,0.523170732,0.56888361,0.510773131,0.467343977,0.482260184,0.440233236,0.419947507,0,0.522860492,0.623155505,0.543396226,0.612222222,0.629335976,0.674595623,0.649193548,0.601792574,0.603563474,0.555279503,0.602259887,0.536964981,0.578947368,0.535620053,0.518024032,0.529032258,0.604371585,0.597156398,0.619377163,0.556372549,0.595151515,0.536159601
144760,0.561786085,0.501632209,0.499469777,0.519863791,0.562124248,0.523092369,0.575975359,0.558455115,0.6,0.582278481,0.551686616,0.579247434,0.335343788,0.522860492,0,0.545549738,0.621900826,0.533950617,0.616681455,0.613957597,0.628054299,0.587973274,0.501048218,0.550865801,0.390660592,0.453143535,0.380044843,0.567928731,0.548532731,0.526315789,0.498966942,0.586278586,0.548625793,0.571729958,0.519955654,0.571428571
144761,0.553513514,0.536853685,0.506550218,0.584459459,0.633858268,0.581673307,0.607068607,0.576307364,0.582608696,0.590963139,0.568561873,0.597660819,0.558918919,0.623155505,0.545549738,0,0.364675985,0.337756333,0.658385093,0.594644506,0.643582641,0.555029586,0.486870897,0.556424581,0.577083333,0.597098214,0.539184953,0.623333333,0.596828992,0.538018433,0.51059322,0.575921909,0.547645126,0.590075512,0.521239954,0.583695652
144762,0.488810365,0.588039867,0.568157034,0.608796296,0.560475162,0.615773509,0.539772727,0.602185792,0.502398082,0.520942408,0.582468281,0.529562982,0.61237785,0.543396226,0.621900826,0.364675985,0,0.447183099,0.612380952,0.65412844,0.617790811,0.507042254,0.576634512,0.502421308,0.631524008,0.555288462,0.596656217,0.570048309,0.550795594,0.55648038,0.589770355,0.54566474,0.618478261,0.555940023,0.592465753,0.531764706
144763,0.599388379,0.557550158,0.54507772,0.518900344,0.609375,0.570029383,0.612903226,0.54718982,0.636826043,0.62962963,0.585209003,0.609234234,0.557428872,0.612222222,0.533950617,0.337756333,0.447183099,0,0.59144677,0.531573987,0.603896104,0.561784897,0.412751678,0.507865169,0.492473118,0.563333333,0.464668094,0.600439078,0.601973684,0.572210066,0.45112782,0.561833689,0.481605351,0.538628945,0.502262443,0.541394336
144764,0.632819583,0.66190901,0.663770634,0.570140281,0.601436266,0.617519514,0.649373882,0.652329749,0.672072072,0.674168297,0.666055046,0.652559055,0.642276423,0.629335976,0.616681455,0.658385093,0.612380952,0.59144677,0,0.34765625,0.261930011,0.62413452,0.619555556,0.565260059,0.584331797,0.581510934,0.560146924,0.593812375,0.604950495,0.622966507,0.615114236,0.611423221,0.623735051,0.582533589,0.648748842,0.587727709
