"Otu","Phylum","Class","Order","Family","Genus","Database","likelihood.weight"
"Otu668","Basidiomycota","Agaricomycetes","Cantharellales","Botryobasidiaceae","Botryobasidium","Tbas","0.9999998015"
"Otu154","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Pleosporales_gen_Incertae_sedis","Unite",NA
"Otu796","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu567","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Zygotorulaspora","Unite",NA
"Otu474","Unknown","Unknown","Unknown","Unknown","Unknown","Tbas.Unite",NA
"Otu176","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Tbas","1.0"
"Otu424","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu105","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Zygotorulaspora","Unite",NA
"Otu878","Ascomycota","Sordariomycetes","Amphisphaeriales","Pseudomassariaceae","Pseudomassaria","Unite",NA
"Otu106","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipitaceae_gen_Incertae_sedis","Unite",NA
"Otu313","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipitaceae_gen_Incertae_sedis","Unite",NA
"Otu546","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu703","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Morchella","Tbas","0.999962887"
"Otu98","Basidiomycota","Ustilaginomycetes","Urocystidales","Floromycetaceae","Antherospora","Unite",NA
"Otu710","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum","Unite",NA
"Otu663","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora","Unite",NA
"Otu200","Basidiomycota","Ustilaginomycetes","Urocystidales","Floromycetaceae","Antherospora","Unite",NA
"Otu413","Choanozoa","Choanoflagellata","Craspedida","Salpingoecidae","Monosiga","Tbas","0.995395713"
"Otu619","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu779","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu419","Choanozoa","Choanoflagellata","Craspedida","Salpingoecidae","Monosiga","Tbas","0.9998301755"
"Otu252","Unknown","Unknown","Unknown","Unknown","Unknown","Tbas.Unite",NA
"Otu427","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Wojnowiciella","Tbas","0.9745570261"
"Otu128","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidales_fam_Incertae_sedis","Rhizophlyctidales_gen_Incertae_sedis","Unite",NA
"Otu367","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu330","Rozellomycota","Rozellomycota_cls_Incertae_sedis","Rozellomycota_ord_Incertae_sedis","Rozellomycota_fam_Incertae_sedis","Rozellomycota_gen_Incertae_sedis","Unite",NA
"Otu713","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu722","Basidiomycota","Agaricomycetes","Agaricales","Pterulaceae","Coronicium","Unite",NA
"Otu711","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipitaceae_gen_Incertae_sedis","Unite",NA
"Otu819","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Unite",NA
"Otu193","Basidiomycota","Exobasidiomycetes","Microstromatales","Microstromatales_fam_Incertae_sedis","Jaminaea","Unite",NA
"Otu952","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu32","Unknown","Unknown","Unknown","Unknown","Unknown","Tbas.Unite",NA
"Otu81","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipitaceae_gen_Incertae_sedis","Unite",NA
"Otu235","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Unite",NA
"Otu177","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Unite",NA
"Otu336","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Devriesia","Unite",NA
"Otu342","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","Tbas","1.0"
"Otu670","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu84","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pleosporaceae_gen_Incertae_sedis","Unite",NA
"Otu52","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum","Unite",NA
"Otu443","Ascomycota","Sordariomycetes","Amphisphaeriales","Clypeophysalosporaceae","Clypeophysalospora","Unite",NA
"Otu250","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Spegazzinia","Tbas","1.0"
"Otu180","Choanozoa","Choanoflagellata","Craspedida","Salpingoecidae","Monosiga","Tbas","0.9964801057"
"Otu704","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Fomes","Unite",NA
"Otu72","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Morchella","Tbas","0.9999801419"
"Otu376","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu60","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu970","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Unite",NA
"Otu267","Basidiomycota","Agaricomycetes","Boletales","Boletinellaceae","Phlebopus","Unite",NA
"Otu812","Unknown","Unknown","Unknown","Unknown","Unknown","Tbas.Unite",NA
"Otu806","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis","Unite",NA
"Otu723","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu260","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeoseptoriella","Tbas","0.9956287217"
"Otu213","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu160","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu862","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Fuscoporia","Unite",NA
"Otu438","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Tbas","0.9998733006"
"Otu245","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","0.9991899639"
"Otu813","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Modicella","Tbas","1.0"
"Otu792","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Clarireedia","Unite",NA
